/IDAC_core/IBIT_cell_5/OUTn X,/IDAC_core/IBIT_cell_5/OUTn Y
0,0.001614338426493171
1,0.001623086686735787
2,0.001631834755013487
3,0.001640582910630946
4,0.00164933016469384
5,0.001658078212086024
6,0.001666826063844864
7,0.001675573999119317
8,0.001684318033373693
9,0.001693065853628083
10,0.001701813474690167
11,0.001710561175604306
12,0.00171930796912937
13,0.001728055547363754
14,0.001736802922994311
15,0.001745550375011803
16,0.001754281588580513
17,0.001763028911594532
18,0.001771776028557877
19,0.001780523218458768
20,0.001789269495023698
21,0.001798016548665916
22,0.00180676339303707
23,0.001815510307173961
24,0.001824253314075742
25,0.001833000085751928
26,0.001841746644983711
27,0.001850493270907723
28,0.001859238977542667
29,0.001867985454708291
30,0.00187673171634636
31,0.001885478041744706
32,0.001894156335417016
33,0.001902902486065685
34,0.001911648417532562
35,0.001920394409305186
36,0.001929139475025618
37,0.001937885305002049
38,0.001946630912797986
39,0.001955376578155098
40,0.001964118321831894
41,0.001972863819351393
42,0.001981609091694721
43,0.001990354418909597
44,0.001999098813592723
45,0.002007843967637022
46,0.002016588893559601
47,0.002025333871766565
48,0.00203406253110646
49,0.002042807326571022
50,0.002051551890837545
51,0.002060296504722454
52,0.002069040179107373
53,0.002077784608566789
54,0.002086528803902043
55,0.002095273046393506
56,0.002104013344713595
57,0.00211275739660809
58,0.002121501211423131
59,0.002130245070956335
60,0.002138987983698329
61,0.002147731648017152
62,0.002156475072322799
63,0.002165218538984218
