/IDAC_core/IBIT_cell_2/OUTn X,/IDAC_core/IBIT_cell_2/OUTn Y
0,0.0002015144935290456
1,0.0002026278223749114
2,0.0002037417602283873
3,0.0002048550847442851
4,0.0002059696214682727
5,0.0002070829408027232
6,0.0002081968670265698
7,0.0002093101811773196
8,0.0002104252786367155
9,0.0002115385863850609
10,0.0002126524989399128
11,0.0002137658007018203
12,0.0002148803071788065
13,0.0002159936021563882
14,0.000217107499890328
15,0.000218220788123456
16,0.0002193363081166376
17,0.0002204495881214536
18,0.0002215634688619395
19,0.0002226767414054137
20,0.0002237912113311218
21,0.0002249044756598811
22,0.0002260183387324704
23,0.0002271315949203785
24,0.0002282466134596614
25,0.0002293598603830739
26,0.0002304737040844452
27,0.0002315869422219981
28,0.0002327013705517071
29,0.0002338145991871514
30,0.0002349284226590075
31,0.0002360416418936059
32,0.0002371570724834523
33,0.0002382702808359602
34,0.0002393840821020704
35,0.0002404972804604853
36,0.000241611661942338
37,0.0002427248496215407
38,0.0002438386283165168
39,0.0002449518054398565
40,0.0002460667245754431
41,0.0002471798900867601
42,0.000248293644735619
43,0.0002494067991528237
44,0.0002505211297408088
45,0.0002516342724048728
46,0.0002527480023468022
47,0.000253861133398708
48,0.0002549764451745175
49,0.0002560895632559029
50,0.0002572032667719708
51,0.0002583163727418892
52,0.000259430648029303
53,0.0002605437412506881
54,0.0002616574180806118
55,0.0002627704987084657
56,0.0002638853015146509
57,0.0002649983685414116
58,0.0002661120173657006
59,0.0002672250713352618
60,0.0002683392878646251
61,0.0002694523281600255
62,0.0002705659484564325
63,0.0002716789752397377
