DAC Output Spectrum X,DAC Output Spectrum Y
0,-75.73105352291488
122070.3125,-76.47643002986018
244140.625,-108.6946357307891
366210.9374999999,-81.26943076114564
488281.2499999999,-107.5655890512665
610351.5624999999,-83.67115966235366
732421.8749999999,-105.0873026537686
854492.1874999999,-76.75232987355658
976562.4999999999,-104.1011680153875
1098632.8125,-95.58350841990645
1220703.125,-100.9544510997797
1342773.4375,-80.01854428599918
1464843.75,-97.56545914941313
1586914.0625,-86.91876265461698
1708984.375,-92.89699173985372
1831054.6875,-81.89539620342887
1953125,-85.99193319780065
2075195.3125,-2.46508974322741
2197265.625,-85.67361287245889
2319335.9375,-79.4106270870539
2441406.25,-91.79791210368889
2563476.5625,-82.05882588406256
2685546.875,-95.64307185712258
2807617.1875,-80.54516943961883
2929687.5,-98.20238938896439
3051757.8125,-78.19576696483195
3173828.125,-99.29864401061344
3295898.4375,-79.74648685899966
3417968.75,-101.6249444167802
3540039.0625,-80.99580689556134
3662109.375,-103.1574874667297
3784179.6875,-73.93322926690755
3906250,-104.1062714011239
4028320.3125,-77.86797697832283
4150390.625,-77.65806893459734
4272460.937499999,-74.24471535176188
4394531.249999999,-105.3127603733562
4516601.562499999,-82.24105040951019
4638671.874999999,-106.8324516492333
4760742.187499999,-81.39695797336996
4882812.499999999,-106.4244120751853
5004882.812499999,-82.92417459746248
5126953.124999999,-105.2984334086243
5249023.437499999,-80.68385310358794
5371093.749999999,-107.0695796465952
5493164.062499999,-77.55899417554605
5615234.374999999,-108.2346152710831
5737304.687499999,-91.08518602773897
5859374.999999999,-110.490798251584
5981445.312499999,-73.78839240207989
6103515.624999999,-110.3314442906819
6225585.937499999,-57.71106354091306
6347656.249999999,-109.7676151450872
6469726.562499999,-77.15715113152488
6591796.874999999,-110.9441060492883
6713867.187499999,-79.34327551433296
6835937.499999999,-110.7341241626396
6958007.812499999,-79.49633112427523
7080078.124999999,-109.3642476842686
7202148.437499999,-74.56897322484743
7324218.749999999,-111.7461420466961
7446289.062499999,-74.63679072392108
7568359.374999999,-110.9736238387861
7690429.687499999,-92.59261819964433
7812499.999999999,-111.2500126562151
7934570.312499999,-74.98928242315314
8056640.624999999,-112.7215284683522
8178710.937499999,-86.71418039525216
8300781.249999999,-101.382455901782
8422851.562499998,-86.96075083514739
8544921.874999998,-117.0416689561065
8666992.187499998,-76.68701379782377
8789062.499999998,-115.2525983902154
8911132.812499998,-92.26187844428398
9033203.124999998,-115.7120267143836
9155273.437499998,-85.20891676499154
9277343.749999998,-119.1640673526807
9399414.062499998,-88.24472452570657
9521484.374999998,-115.073465867387
9643554.687499998,-77.15519643224381
9765624.999999998,-113.210943745845
9887695.312499998,-89.64388377644948
10009765.625,-111.6779172516287
10131835.9375,-79.61924872127035
10253906.25,-113.1027264775612
10375976.5625,-93.64111965918684
10498046.875,-113.9741292494562
10620117.1875,-80.675347994379
10742187.5,-117.1420482603187
10864257.8125,-91.55464947237341
10986328.125,-118.8268761922428
11108398.4375,-91.27015160109381
11230468.75,-120.2586266185339
11352539.0625,-81.78639796816263
11474609.375,-117.0677053267524
11596679.6875,-91.79810385809567
11718750,-118.6723662727936
11840820.3125,-97.18157929474791
11962890.625,-118.4357900805899
12084960.9375,-85.44745567274697
12207031.25,-115.1308683585472
12329101.5625,-80.80749097270298
12451171.875,-94.19720095223441
12573242.1875,-89.55860393069194
12695312.5,-115.3071150716287
12817382.8125,-76.64743665046375
12939453.125,-114.0650091051435
13061523.4375,-82.64706355805626
13183593.75,-117.1949348967335
13305664.0625,-80.52174885651417
13427734.375,-107.8633979609115
13549804.6875,-94.68777518718305
13671875,-120.9623610542266
13793945.3125,-84.54583134150619
13916015.625,-120.2870487679428
14038085.9375,-83.78693106277518
14160156.25,-122.5367864029053
14282226.5625,-88.69859410934214
14404296.875,-124.2849712936761
14526367.1875,-81.51225434106303
14648437.5,-121.7225162685798
14770507.8125,-84.79061545487296
14892578.125,-114.8626437373774
15014648.4375,-95.25075982523155
15136718.75,-115.2992920492952
15258789.0625,-77.4030024467564
15380859.375,-114.9780382397924
15502929.6875,-79.10347323289706
15625000,-111.8584696756224
15747070.3125,-87.5173810465497
15869140.625,-119.4106721517759
15991210.9375,-78.96712763881166
16113281.25,-119.7561150001031
16235351.5625,-79.45664859602516
16357421.875,-127.8989479379004
16479492.1875,-85.31343688084435
16601562.5,-94.93921346294164
16723632.8125,-86.60008261006189
16845703.125,-119.9115035440986
16967773.4375,-79.11621248601796
