DAC Output Spectrum X,DAC Output Spectrum Y
0,-73.08612488194062
122070.3125,-76.41199842214709
244140.625,-111.2099876117057
366210.9374999999,-81.25722916435018
488281.2499999999,-110.4947096588724
610351.5624999999,-83.62309151111882
732421.8749999999,-107.5809046982332
854492.1874999999,-76.7804458525323
976562.4999999999,-107.4578811876812
1098632.8125,-95.93798957181994
1220703.125,-103.9998785050346
1342773.4375,-79.80069614949863
1464843.75,-100.3630798479066
1586914.0625,-86.34137482485539
1708984.375,-95.74254328787973
1831054.6875,-82.56644915776711
1953125,-88.75311670478905
2075195.3125,-2.455648111890407
2197265.625,-88.46567827295276
2319335.9375,-79.26253456571679
2441406.25,-94.63220991177444
2563476.5625,-81.54474717551136
2685546.875,-98.49879821674477
2807617.1875,-80.2738678659602
2929687.5,-101.0859881306999
3051757.8125,-77.70980938589109
3173828.125,-101.668074180393
3295898.4375,-79.91695122360184
3417968.75,-104.5641566958378
3540039.0625,-80.90177786216189
3662109.375,-106.2319309876487
3784179.6875,-73.87274552310951
3906250,-106.9948311215182
4028320.3125,-77.75961109162191
4150390.625,-75.15913669342575
4272460.937499999,-74.28100576146973
4394531.249999999,-108.0878458831887
4516601.562499999,-82.18719565448683
4638671.874999999,-110.1391500503866
4760742.187499999,-81.48706199287358
4882812.499999999,-108.6939611030559
5004882.812499999,-83.0660419057026
5126953.124999999,-105.6727782907055
5249023.437499999,-80.93508804749085
5371093.749999999,-109.3890734795663
5493164.062499999,-77.59428743577953
5615234.374999999,-110.9887362319762
5737304.687499999,-91.52100216919871
5859374.999999999,-114.3869074386157
5981445.312499999,-73.75165933815776
6103515.624999999,-113.8110007881173
6225585.937499999,-60.57075014391289
6347656.249999999,-112.3371915306996
6469726.562499999,-77.12446916498453
6591796.874999999,-114.737274383031
6713867.187499999,-79.38463016564454
6835937.499999999,-113.4347927558214
6958007.812499999,-79.45899981791251
7080078.124999999,-110.8962358831766
7202148.437499999,-74.38849311195996
7324218.749999999,-113.8446201670586
7446289.062499999,-74.6272369675218
7568359.374999999,-113.0390677149947
7690429.687499999,-92.99922071760332
7812499.999999999,-113.2996847246611
7934570.312499999,-74.99683503999157
8056640.624999999,-115.4811340511104
8178710.937499999,-86.50670314356816
8300781.249999999,-95.77464482783878
8422851.562499998,-87.09727294947396
8544921.874999998,-121.934755565149
8666992.187499998,-76.63314920329935
8789062.499999998,-120.2730447196998
8911132.812499998,-92.37045118900839
9033203.124999998,-119.2128495655152
9155273.437499998,-85.25139926985366
9277343.749999998,-120.9392938353511
9399414.062499998,-88.61595478074109
9521484.374999998,-119.3778160487375
9643554.687499998,-77.15539852907189
9765624.999999998,-115.7775100002663
9887695.312499998,-89.71519306340798
10009765.625,-112.6895050923804
10131835.9375,-79.52224223871582
10253906.25,-114.5937598259078
10375976.5625,-75.16503927152596
10498046.875,-116.5641922215661
10620117.1875,-80.50610548947836
10742187.5,-121.1017102403136
10864257.8125,-91.86148444811828
10986328.125,-124.8713074322291
11108398.4375,-91.1448341283475
11230468.75,-122.2489603428046
11352539.0625,-81.92296784136624
11474609.375,-118.402096162419
11596679.6875,-91.70113716962561
11718750,-122.0502904153094
11840820.3125,-97.61855202817654
11962890.625,-121.8687973469532
12084960.9375,-85.40107039614057
12207031.25,-116.9128839742705
12329101.5625,-80.80187727640248
12451171.875,-92.84690509395364
12573242.1875,-89.62396615700831
12695312.5,-117.8253364787901
12817382.8125,-76.6769448307773
12939453.125,-115.8970416714971
13061523.4375,-82.64635683827281
13183593.75,-118.6455810584142
13305664.0625,-80.50909321822414
13427734.375,-106.6746782570587
13549804.6875,-94.57366271413876
13671875,-130.3780789710813
13793945.3125,-84.51037581907241
13916015.625,-122.3543832653539
14038085.9375,-83.7051652793705
14160156.25,-132.7017310148173
14282226.5625,-88.73481797508462
14404296.875,-117.1036126596549
14526367.1875,-81.17064365157137
14648437.5,-122.2943496517823
14770507.8125,-84.71438011852106
14892578.125,-115.8687389585502
15014648.4375,-95.75419812390732
15136718.75,-116.8982869702675
15258789.0625,-77.38568553313621
15380859.375,-115.7359617361062
15502929.6875,-79.5642552134892
15625000,-111.0794331634505
